title,company,location,requirements,description,views_count,reviews_count
Python Developer,Trinetix,"Польща, Україна (Київ)","['· Office або Remote', '· 2 роки досвіду', '· Upper-Intermediate']","We are seeking a talented and experienced Python Developer to join our team, focused on working with ChatGPT, AWS GlueJobs, and AWS SageMaker or Azure Cloud Platform tools. The Детальніше",14,80
Python Developer (Data engineering),Dataforest,Україна,"['· Office або Remote', '· 1 рік досвіду', '· Intermediate']","We are looking for a proactive and result-oriented Python Developer with data engineering expertise for the International E-commerce Project. In each position, we provide Детальніше",31,253
IoT developer (LoRaWAN),Quintagroup,Україна (Львів),"['· Office або Remote', '· 3 роки досвіду', '· Intermediate']",Quintagroup is looking for LoRaWAN engineer to join the development team of IoT solutions. RESPONSIBILITIES: development with Python participation in planning Детальніше,6,42
Senior Software Engineer (IoT),Quintagroup,Україна (Львів),"['· Office або Remote', '· 3 роки досвіду', '· Intermediate']",Quintagroup is looking for Software Enginee engineer to join the development team of IoT solutions. RESPONSIBILITIES: participation in planning and execution Детальніше,2,35
Senior Python Developer (Django),Quintagroup,Україна (Львів),"['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']",Quintagroup шукає сеніор Python/Django розробників в команди що працюють над створенням продуктів компанії що займається виробництвом та встановленням сонячних панелей. Technology Детальніше,17,58
Middle Python Developer,Atto Trading,Україна (Київ),"['· Product', '· Гібридна робота', '· 5 років досвіду', '· Upper-Intermediate']","About Us: Atto Trading is a quantitative trading firm operating a portfolio of signal-driven, high-frequency strategies in cash equities and futures. We are building a global, Детальніше",8,85
Senior Python Engineer IRC206424,GlobalLogic,"Україна (Київ, Львів, Харків)","['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']",Description: Our client is one of the leaders in Software as a service in the world of business applications. You will be working on a data platform. About the Детальніше,44,128
Python (Django) Developer,PLANEKS,Україна,"['· Тільки віддалено', '· 2 роки досвіду', '· Intermediate']",Let’s start with what PLANEKS offers: 0. Fast and comfortable hiring process. 1. 100% remote(even before the COVID) work opportunity and flexitime - choose working hours Детальніше,80,258
Senior Python Developer,KISS Software,Україна,"['· Тільки віддалено', '· 3 роки досвіду']","We are young, creative and brave specialists. Our only mission is to Keep IT Sweet and Simple (K.I.S.S.) for you. It is our philosophy and sole aim. We are striving to make the Детальніше",6,28
Senior Python developer for an AI startup,Qualicode,Ізраїль,"['· Product', '· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']",*This is a 100% remote position. *If you are experienced with Typescript that's a big advantage *direct hire by the product startup *fast&respectful hiring process We are Детальніше,37,139
Python Developer,Lumitech,"Україна, Обʼєднані Арабські Емірати","['· Тільки віддалено', '· 1 рік досвіду', '· Upper-Intermediate']","We are seeking a talented and passionate Python Developer to join our dynamic development team. You will play a role in designing and implementing server-side applications, Детальніше",225,721
Middle Python Developer,Boosty Labs,Україна,"['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']","Project information/About the client: A cloud GPU rental platform, that provides cost-effective access to a diverse range of GPU servers, including NVIDIA A100s, RTX A6000s, Детальніше",29,102
Python/Django Engineer,Intobi,Україна (Київ),"['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']","Hey guys 👋 We’re Intobi - a software development company, located in Kyiv 🇺🇦 Our main specialization is Web & Mobile applications + UI/UX Design. We’re looking for a Детальніше",8,82
Senior Developer / CI Developer (IRC206222),GlobalLogic,Польща,"['· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']","We are looking for a team to support us with Core System Application Integration, we are in need of an agile team, building test environments for new platforms and programs. We Детальніше",0,7
Senior Python Developer,Particles Global,"Німеччина, Україна","['· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']",The Germany based current customer of Particles Global is looking for a Senior Python Developer to join the team from January 2024. The customer provides a central platform for Детальніше,13,57
Middle Python,Sunrise Technology,Україна,"['· Гібридна робота', '· 1 рік досвіду']","Ми запрошуємо молодшого розробника Python для участі у створенні високоякісних та ефективних програмних рішень. Вимоги включають базові знання Python, бажання вивчати нові Детальніше",145,296
Middle Python Developer,AI Pickles,Україна,"['· Тільки віддалено', '· 2 роки досвіду']","We are looking for a passionate, energetic Python developer who will successfully deliver solutions for our customers due to their business goals. General requirements: 3+ Детальніше",27,121
Looking Middle Python Developer,Inquatro,Україна,"['· Тільки віддалено', '· 3 роки досвіду', '· Upper-Intermediate']",Looking Middle Python Developer We are seeking a highly skilled and with excellent communication skills Python developer to join our dynamic team. As a Python back-end Детальніше,22,83
Middle Python Developer,ISI Technology,Україна,"['· Product', '· Тільки віддалено', '· 3 роки досвіду', '· Intermediate']","Необхідні навички 3+ years of professional experience in Python development 3+ years of professional experience: PostgreSQL, Django Rest Working Experience with DRF 3.X, Детальніше",34,121
Lead AI Engineer,1touch,Україна,"['· Product', '· Office або Remote', '· 5 років досвіду', '· Pre-Intermediate']",Role: We're seeking a skilled and enthusiastic Lead AI Engineer with strong expertise in NLP and computer vision to propel our team to spearheading the development and deployment Детальніше,16,94
Python Developer,Uni Agency,Україна,"['· Тільки віддалено', '· 2 роки досвіду', '· Upper-Intermediate']",Uni Agency is a team of professionals who specializes in 3D graphics and website creation. We are truly professionals in our field. We can teach you to understand our niche Детальніше,162,331
Senior Full Stack Software Developer (Python+JS),Sigma Software,"Польща, Україна","['· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']",We’re in search of an experienced Senior Full stack Software Developer ready to significantly impact on the product development of our groundbreaking Defense Platform. This Детальніше,14,68
Python Developer in Test (Apps),Ajax Systems,"Релокейт, Україна (Київ)","['· Product', '· Тільки офіс', '· 2 роки досвіду']",About project: Ajax is an ecosystem whose work is impossible without high-quality and easy-to-use applications. Manual testers and the automation team are responsible for the Детальніше,8,102
Senior Python developer,Yalantis,"Україна (Дніпро, Київ, Львів)","['· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']","We’re looking for an experienced Python developer to join our team. Responsibilities: - Collaborate and build solutions regarding architecture, backend APIs, and Детальніше",11,49
Senior Python Backend Engineer,Develux,Україна,"['· Product', '· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']",What are we doing? Develux is an IT consulting and software development company with products for the US market and outsourcing services worldwide. The company has been on Детальніше,20,51
Senior Backend Engineer (Python),Orderry,Україна (Київ),"['· Product', '· Гібридна робота', '· 5 років досвіду', '· Intermediate']","Стек: Python 3.9, Django 4, DRF, Celery, PostgreSQL, Redis, Kafka, RabbitMQ, OpenAPI, Swagger, Pytest Requirements: 5+ років досвіду на позиції Python Developer Впевнене Детальніше",4,43
Python Engineer,Hevelian,Україна (Львів),"['· Product', '· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']",Project description: Our project is the ultimate health coaching app designed to empower individuals to achieve their wellness goals. Our seasoned doctors and coaches work Детальніше,20,79
Python Engineer (Poland),Adaptiq,Польща,"['· Product', '· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']","We are a pioneer in the field of Enhanced Sensory AI, and are proud to say that we have transformed customer and field service sectors. With an impressive portfolio of patents in Детальніше",4,21
Senior Python (Django) Developer,Zutobi,"Швеція, Україна","['· Product', '· Тільки віддалено', '· 5 років досвіду', '· Intermediate']",Zutobi is a global edtech product company that provides engaging and innovative digital solutions for driver education. Our core product Zutobi Drivers Ed is an app and Детальніше,18,58
Middle/Senior Full Stack (Python / React.js / TypeScript),Kozak Agency,Україна,"['· Тільки віддалено', '· 3 роки досвіду', '· Upper-Intermediate']",We are looking for a Python Developer for an outstaff project. About the project: it is a legal technology tool that lets lawyers use everyday words to make changes to Детальніше,8,44
Python developer / strong junior,dZENcode,Україна (Харків),"['· Тільки віддалено', '· 1 рік досвіду', '· Pre-Intermediate']",Необхідні навички: - Досвід в IT компанії на Python - від 1+ року; - Знання фреймворку Django; - Впевнене знання Python3; - Відмінне знання мови програмування Python; - Детальніше,83,434
Staff Software Engineer/Tech lead,SPS Commerce,Україна (Київ),"['· Product', '· Гібридна робота', '· 5 років досвіду', '· Advanced/Fluent']","Tech Lead is a technical expert and a leader who plays a crucial role in guiding the development team, making technical decisions, and ensuring the successful delivery of a Детальніше",0,40
Python Lead,Skillers,Україна (Київ),"['· Product', '· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']",Job Description Our client - a SaaS platform for managing expert networks that helps make better decisions is looking for a skillful Python Lead to join their team in Детальніше,6,21
Python Developer,Dataforest,Україна (Київ),"['· Office або Remote', '· 1 рік досвіду', '· Intermediate']","Looking for a Python Developer to join the Dataforest team. If you are looking for a friendly team, a healthy working environment, and a flexible schedule ‒ you have found the Детальніше",37,298
Python Developer,Ronis Business Tools,Україна,"['· Тільки віддалено', '· 2 роки досвіду']","Наша компанія знаходиться в пошуку колеги - Python розробника для участі у закордонних довгострокових веб-проектах. Основні завдання, які виконуватиме розробник у нашій Детальніше",41,136
"Middle Python/Django developer, full stack (front preferable vue.js)",Itera Research,Україна (Харків),"['· Office або Remote', '· 2 роки досвіду', '· Intermediate']",We are looking for an experienced Middle Python Developer ready to join our team and contribute to an innovative project in the tourism and hospitality industry. Our platform Детальніше,16,82
Middle Python/Machine Learning Software Engineer,GlobalLogic,Україна,"['· Тільки віддалено', '· 3 роки досвіду', '· Upper-Intermediate']","Job Description We are looking for a software engineer with solid Python background, to join the core team responsible for the client's company vision data refinery flow. The Детальніше",113,295
Data Mining Engineer needed for data centric startup,Forecasa,Сполучені Штати,"['· Product', '· Тільки віддалено', '· Без досвіду', '· Advanced/Fluent']","We're in the process of scaling our current systems and looking for a clever, flexible, and resourceful engineer to help build out our data pipelines. Our existing pipelines Детальніше",31,245
Middle Strong Python Dev,Codify,"Україна, Ізраїль, Кіпр","['· Product', '· Тільки віддалено', '· 3 роки досвіду', '· Advanced/Fluent']","Codify is a Professional Software Development Powerhouse. Codify provides expert consulting, development and infrastructure services. We work on projects of different scales: from Детальніше",10,92
Senior Python Developer (with AWS skills),Kozak Agency,Україна,"['· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']","We are looking for a Python Developer (with AWS skills) for a new and cutting-edge stealth startup, with a goal to ensure risk-free software releases, while bridging the gap Детальніше",7,34
Database Developer (Graph Databases),FIVEWALLS,Україна,"['· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']","If you’re looking for a friendly team, a healthy working environment, and a flexible schedule ‒ you’ve found the right place to send your CV. If you share our values, you will Детальніше",5,49
Senior Software Engineer (Python),SPS Commerce,Україна,"['· Product', '· Гібридна робота', '· 5 років досвіду', '· Intermediate']",What We Expect of You: We are adding to our engineering staff in our Kyiv office to work with and support our engineering community in Ukraine and the US. We understand that our Детальніше,1,24
Software Engineer (Python),SPS Commerce,Україна,"['· Product', '· Гібридна робота', '· 3 роки досвіду', '· Intermediate']",What We Expect of You: We are adding to our engineering staff in our Kyiv office to work with and support our engineering community in Ukraine and the US. We understand that our Детальніше,6,48
